ROI_Type,Y,X
Bleach,215,225
Bleach,215,226
Bleach,215,227
Bleach,215,228
Bleach,215,229
Bleach,216,213
Bleach,216,214
Bleach,216,215
Bleach,216,216
Bleach,216,217
Bleach,216,218
Bleach,216,219
Bleach,216,220
Bleach,216,221
Bleach,216,222
Bleach,216,223
Bleach,216,224
Bleach,216,225
Bleach,216,226
Bleach,216,227
Bleach,216,228
Bleach,216,229
Bleach,217,214
Bleach,217,215
Bleach,217,216
Bleach,217,217
Bleach,217,218
Bleach,217,219
Bleach,217,220
Bleach,217,221
Bleach,217,222
Bleach,217,223
Bleach,217,224
Bleach,217,225
Bleach,217,226
Bleach,217,227
Bleach,217,228
Bleach,217,229
Bleach,218,214
Bleach,218,215
Bleach,218,216
Bleach,218,217
Bleach,218,218
Bleach,218,219
Bleach,218,220
Bleach,218,221
Bleach,218,222
Bleach,218,223
Bleach,218,224
Bleach,218,225
Bleach,218,226
Bleach,218,227
Bleach,218,228
Bleach,218,229
Bleach,218,230
Bleach,219,215
Bleach,219,216
Bleach,219,217
Bleach,219,218
Bleach,219,219
Bleach,219,220
Bleach,219,221
Bleach,219,222
Bleach,219,223
Bleach,219,224
Bleach,219,225
Bleach,219,226
Bleach,219,227
Bleach,219,228
Bleach,219,229
Bleach,220,214
Bleach,220,215
Bleach,220,216
Bleach,220,217
Bleach,220,218
Bleach,220,219
Bleach,220,220
Bleach,220,221
Bleach,220,222
Bleach,220,223
Bleach,220,224
Bleach,220,225
Bleach,220,226
Bleach,220,227
Bleach,220,228
Bleach,220,229
Bleach,221,215
Bleach,221,216
Bleach,221,217
Bleach,221,218
Bleach,221,219
Bleach,221,220
Bleach,221,221
Bleach,221,222
Bleach,221,223
Bleach,221,224
Bleach,221,225
Bleach,221,226
Bleach,221,227
Bleach,221,228
Bleach,221,229
Bleach,221,230
Bleach,222,216
Bleach,222,217
Bleach,222,219
Bleach,222,220
Bleach,222,221
Bleach,222,222
Bleach,222,223
Bleach,222,224
Bleach,222,225
Bleach,222,226
Bleach,222,227
Bleach,222,228
Bleach,222,229
Bleach,222,230
Bleach,223,220
Bleach,223,221
Bleach,223,222
Bleach,223,223
Bleach,223,224
Bleach,223,225
Bleach,223,226
Bleach,223,227
Bleach,223,228
Bleach,223,229
Bleach,223,230
Bleach,223,231
Bleach,224,221
Bleach,224,222
Bleach,224,223
Bleach,224,224
Bleach,224,225
Bleach,224,226
Bleach,224,227
Bleach,224,228
Bleach,224,229
Bleach,224,230
Bleach,224,231
Bleach,224,232
Bleach,225,220
Bleach,225,221
Bleach,225,222
Bleach,225,223
Bleach,225,224
Bleach,225,225
Bleach,225,226
Bleach,225,227
Bleach,225,228
Bleach,225,229
Bleach,225,230
Bleach,225,231
Bleach,225,232
Bleach,225,233
Bleach,226,220
Bleach,226,221
Bleach,226,222
Bleach,226,223
Bleach,226,224
Bleach,226,225
Bleach,226,226
Bleach,226,227
Bleach,226,228
Bleach,226,229
Bleach,226,230
Bleach,226,231
Bleach,226,232
Bleach,226,233
Bleach,226,234
Bleach,227,221
Bleach,227,222
Bleach,227,223
Bleach,227,224
Bleach,227,225
Bleach,227,226
Bleach,227,227
Bleach,227,228
Bleach,227,229
Bleach,227,230
Bleach,227,231
Bleach,227,232
Bleach,227,233
Bleach,227,234
Bleach,228,222
Bleach,228,223
Bleach,228,224
Bleach,228,225
Bleach,228,226
Bleach,228,227
Bleach,228,228
Bleach,228,229
Bleach,228,230
Bleach,228,231
Bleach,228,232
Bleach,228,233
Bleach,228,234
Bleach,228,235
Bleach,229,223
Bleach,229,224
Bleach,229,225
Bleach,229,226
Bleach,229,227
Bleach,229,228
Bleach,229,229
Bleach,229,230
Bleach,229,231
Bleach,229,232
Bleach,229,233
Bleach,229,234
Bleach,229,235
Bleach,230,224
Bleach,230,225
Bleach,230,226
Bleach,230,227
Bleach,230,228
Bleach,230,229
Bleach,230,230
Bleach,230,231
Bleach,230,232
Bleach,230,233
Bleach,230,234
Bleach,230,235
Bleach,230,236
Bleach,231,225
Bleach,231,226
