ROI_Type,Y,X
Bleach,119,183
Bleach,119,184
Bleach,119,185
Bleach,119,186
Bleach,119,187
Bleach,119,188
Bleach,119,189
Bleach,119,190
Bleach,119,191
Bleach,119,192
Bleach,119,193
Bleach,119,194
Bleach,119,195
Bleach,119,196
Bleach,119,197
Bleach,119,198
Bleach,119,199
Bleach,119,200
Bleach,119,201
Bleach,119,202
Bleach,119,203
Bleach,119,204
Bleach,119,205
Bleach,119,206
Bleach,119,207
Bleach,119,208
Bleach,119,209
Bleach,119,210
Bleach,119,211
Bleach,119,212
Bleach,119,213
Bleach,119,214
Bleach,119,215
Bleach,119,216
Bleach,119,217
Bleach,119,218
Bleach,119,219
Bleach,119,220
Bleach,119,221
Bleach,119,222
Bleach,119,223
Bleach,119,224
Bleach,119,225
Bleach,119,226
Bleach,119,227
Bleach,119,228
Bleach,119,229
Bleach,119,230
Bleach,120,165
Bleach,120,166
Bleach,120,167
Bleach,120,168
Bleach,120,169
Bleach,120,170
Bleach,120,171
Bleach,120,172
Bleach,120,173
Bleach,120,174
Bleach,120,175
Bleach,120,176
Bleach,120,180
Bleach,120,181
Bleach,120,182
Bleach,120,183
Bleach,120,184
Bleach,120,185
Bleach,120,186
Bleach,120,187
Bleach,120,188
Bleach,120,189
Bleach,120,190
Bleach,120,191
Bleach,120,192
Bleach,120,193
Bleach,120,194
Bleach,120,195
Bleach,120,196
Bleach,120,197
Bleach,120,198
Bleach,120,199
Bleach,120,200
Bleach,120,201
Bleach,120,202
Bleach,120,203
Bleach,120,204
Bleach,120,205
Bleach,120,206
Bleach,120,207
Bleach,120,208
Bleach,120,209
Bleach,120,210
Bleach,120,211
Bleach,120,212
Bleach,120,213
Bleach,120,214
Bleach,120,215
Bleach,120,216
Bleach,120,217
Bleach,120,218
Bleach,120,219
Bleach,120,220
Bleach,120,221
Bleach,120,222
Bleach,120,223
Bleach,120,224
Bleach,120,225
Bleach,120,226
Bleach,120,227
Bleach,120,228
Bleach,120,229
Bleach,120,230
Bleach,121,165
Bleach,121,166
Bleach,121,167
Bleach,121,168
Bleach,121,169
Bleach,121,170
Bleach,121,171
Bleach,121,172
Bleach,121,173
Bleach,121,174
Bleach,121,175
Bleach,121,181
Bleach,121,182
Bleach,121,183
Bleach,121,184
